dst_port,flow_duration,flow_byts_s,flow_pkts_s,bwd_pkts_s,totlen_fwd_pkts,fwd_pkt_len_max,fwd_pkt_len_mean,bwd_pkt_len_max,bwd_pkt_len_min,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,bwd_header_len,flow_iat_mean,flow_iat_max,flow_iat_std,fwd_iat_mean,fwd_iat_std,psh_flag_cnt,ack_flag_cnt,init_fwd_win_byts,init_bwd_win_byts
1900,0.0,0,0,0,334,167,167.0,0,0,167,167,167.0,0.0,0,0,0,0,0,0,0,0,0,0
80,0.001575,151111.11111111112,2539.6825396825398,634.9206349206349,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000525,0.001505,0.000693553650892753,0.0007875,0.0007875,0,1,512,64240
80,0.001207,197183.0985915493,3314.001657000829,828.5004142502072,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0004023333333333334,0.001172,0.0005444240585752577,0.0006035,0.0006035,0,1,512,64240
80,0.001277,186374.31480031324,3132.341425215349,783.0853563038372,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00042566666666666664,0.001245,0.0005795034272739224,0.0006385,0.0006385,0,1,512,64240
80,0.001316,180851.06382978725,3039.51367781155,759.8784194528876,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00043866666666666663,0.001284,0.0005978836750479887,0.000658,0.000658,0,1,512,64240
80,0.001193,199497.0662196144,3352.891869237217,838.2229673093043,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0003976666666666666,0.001166,0.0005434055166775137,0.0005965,0.0005965,0,1,512,64240
80,0.002369,100464.33094132545,1688.4761502743775,422.11903756859436,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0007896666666666667,0.002286,0.0010586098851271362,0.0011845,0.0011845,0,1,512,64240
80,0.001854,128371.08953613808,2157.497303128371,539.3743257820928,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000618,0.001815,0.0008465565545195431,0.000927,0.000927,0,1,512,64240
80,0.004254,55947.34367653973,940.2914903620123,235.07287259050307,180,60,60.0,58,58,60,58,59.5,0.75,20,0.001418,0.004222,0.0019827704523385117,0.002127,0.002127,0,1,512,64240
80,0.001573,151303.24221233313,2542.911633820725,635.7279084551813,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005243333333333334,0.001504,0.000693301441574218,0.0007865,0.0007865,0,1,512,64240
80,0.002589,91927.38509076863,1544.998068752414,386.2495171881035,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000863,0.002281,0.0010105308835788576,0.0012945,0.0012945,0,1,512,64240
80,0.001554,153153.15315315314,2574.002574002574,643.5006435006435,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000518,0.001396,0.0006241815975072212,0.000777,0.000777,0,1,512,64240
80,0.005285,45033.11258278146,756.8590350047305,189.21475875118261,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0017616666666666666,0.003942,0.0016363174780246311,0.0026425,0.0026425,0,1,512,64240
80,0.001562,152368.75800256082,2560.819462227913,640.2048655569782,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005206666666666667,0.001455,0.0006621159683586823,0.000781,0.000781,0,1,512,64240
80,0.003242,73411.47439851944,1233.8062924120914,308.45157310302284,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0010806666666666666,0.003175,0.0014811698829716403,0.001621,0.001621,0,1,512,64240
80,0.003241,73434.12526997841,1234.1869793273681,308.54674483184203,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0010803333333333333,0.002901,0.0012948668743242382,0.0016205,0.0016205,0,1,512,64240
80,0.004019,59218.71112216969,995.2724558347848,248.8181139586962,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013396666666666667,0.003939,0.0018382963731551978,0.0020095,0.0020095,0,1,512,64240
80,0.003658,65062.87588846365,1093.4937124111536,273.3734281027884,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0012193333333333333,0.003597,0.001681448647909164,0.001829,0.001829,0,1,512,64240
80,0.003658,65062.87588846365,1093.4937124111536,273.3734281027884,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0012193333333333333,0.003318,0.0014904588406110233,0.001829,0.001829,0,1,512,64240
80,0.001505,158139.53488372092,2657.8073089700997,664.4518272425249,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005016666666666666,0.001458,0.0006765019503954803,0.0007525,0.0007525,0,1,512,64240
80,0.005226,45541.52315346345,765.4037504783773,191.35093761959433,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0017419999999999998,0.005186,0.002435330504606442,0.002613,0.002613,0,1,512,64240
80,0.003913,60822.89803220036,1022.2335803731153,255.55839509327882,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013043333333333333,0.003882,0.0018227295161073376,0.0019565,0.0019565,0,1,512,64240
80,0.004212,56505.22317188985,949.6676163342831,237.41690408357078,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0014039999999999999,0.004161,0.0019496045752921281,0.002106,0.002106,0,1,512,64240
80,0.003243,73388.83749614556,1233.4258402713538,308.35646006783844,180,60,60.0,58,58,60,58,59.5,0.75,20,0.001081,0.003178,0.0014830403455963921,0.0016215,0.0016215,0,1,512,64240
80,0.003051,78007.21075057359,1311.0455588331695,327.76138970829237,180,60,60.0,58,58,60,58,59.5,0.75,20,0.001017,0.002905,0.0013363475096944907,0.0015255,0.0015255,0,1,512,64240
80,0.003049,78058.37979665464,1311.9055428009183,327.97638570022957,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0010163333333333333,0.002258,0.0009354935714489022,0.0015245,0.0015245,0,1,512,64240
80,0.003122,76233.18385650223,1281.2299807815502,320.30749519538756,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0010406666666666667,0.003059,0.0014274089190635677,0.001561,0.001561,0,1,512,64240
80,0.001263,188440.22169437847,3167.0625494853525,791.7656373713381,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000421,0.001221,0.0005659452270317332,0.0006315,0.0006315,0,1,512,64240
80,0.001946,122302.1582733813,2055.498458376156,513.874614594039,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006486666666666666,0.001903,0.0008871213120099316,0.000973,0.000973,0,1,512,64240
80,0.001594,149309.9121706399,2509.4102885821835,627.3525721455459,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005313333333333334,0.00151,0.0006928709996977953,0.000797,0.000797,0,1,512,64240
80,0.002183,109024.27851580393,1832.3408153916628,458.0852038479157,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0007276666666666667,0.002146,0.001003026863493141,0.0010915,0.0010915,0,1,512,64240
80,0.001489,159838.8179986568,2686.366689053056,671.591672263264,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0004963333333333333,0.00145,0.0006745321012046466,0.0007445,0.0007445,0,1,512,64240
80,0.003315,71794.8717948718,1206.6365007541478,301.65912518853696,180,60,60.0,58,58,60,58,59.5,0.75,20,0.001105,0.003285,0.001541541436355183,0.0016575,0.0016575,0,1,512,64240
80,0.001339,177744.5855115758,2987.303958177745,746.8259895444362,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00044633333333333336,0.00128,0.0005899832389332958,0.0006695,0.0006695,0,1,512,64240
80,0.004011,59336.8237347295,997.2575417601596,249.3143854400399,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013369999999999999,0.00397,0.0018618873936590973,0.0020055,0.0020055,0,1,512,64240
80,0.003339,71278.82599580713,1197.9634621144055,299.4908655286014,180,60,60.0,58,58,60,58,59.5,0.75,20,0.001113,0.003065,0.0013847976988234298,0.0016695,0.0016695,0,1,512,64240
80,0.001896,125527.42616033756,2109.704641350211,527.4261603375528,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006320000000000001,0.001804,0.0008295798133191686,0.000948,0.000948,0,1,512,64240
80,0.002444,97381.34206219313,1636.6612111292961,409.16530278232403,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0008146666666666667,0.002378,0.0011057719274586218,0.001222,0.001222,0,1,512,64240
80,0.001414,168316.83168316833,2828.854314002829,707.2135785007073,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00047133333333333337,0.00136,0.0006287688146069445,0.000707,0.000707,0,1,512,64240
80,0.002623,90735.7987037743,1524.9714067861228,381.2428516965307,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0008743333333333333,0.002525,0.0011678830801449642,0.0013115,0.0013115,0,1,512,64240
80,0.00298,79865.77181208054,1342.2818791946308,335.5704697986577,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0009933333333333333,0.00293,0.0013695822558559801,0.00149,0.00149,0,1,512,64240
80,0.001707,139425.89338019918,2343.2923257176335,585.8230814294084,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005690000000000001,0.001605,0.0007337451873777436,0.0008535,0.0008535,0,1,512,64240
80,0.003886,61245.49665465774,1029.336078229542,257.3340195573855,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0012953333333333334,0.003729,0.0017220554256146604,0.001943,0.001943,0,1,512,64240
80,0.003886,61245.49665465774,1029.336078229542,257.3340195573855,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0012953333333333334,0.003294,0.0014337869049788707,0.001943,0.001943,0,1,512,64240
80,0.004064,58562.99212598425,984.2519685039371,246.06299212598427,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013546666666666666,0.003903,0.0018031421340414502,0.002032,0.002032,0,1,512,64240
80,0.004066,58534.18593212002,983.7678307919331,245.94195769798327,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013553333333333334,0.003121,0.0013067619863191954,0.002033,0.002033,0,1,512,64240
80,0.003786,62863.18013734813,1056.5240359218174,264.13100898045434,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0012619999999999999,0.003721,0.0017389780523821073,0.001893,0.001893,0,1,512,64240
80,0.002273,104707.43510778707,1759.7888253409592,439.9472063352398,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0007576666666666666,0.002221,0.0010349506697852264,0.0011365,0.0011365,0,1,512,64240
80,0.003156,75411.91381495564,1267.427122940431,316.85678073510775,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0010520000000000002,0.003112,0.0014567507222125093,0.001578,0.001578,0,1,512,64240
80,0.003156,75411.91381495564,1267.427122940431,316.85678073510775,180,60,60.0,58,58,60,58,59.5,0.75,20,0.001052,0.002251,0.0009248268306373182,0.001578,0.001578,0,1,512,64240
80,0.003329,71492.94082306999,1201.5620306398318,300.39050765995796,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0011096666666666666,0.003276,0.0015319817956562741,0.0016645,0.0016645,0,1,512,64240
80,0.002532,93996.84044233807,1579.778830963665,394.9447077409163,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000844,0.002484,0.001159820675794323,0.001266,0.001266,0,1,512,64240
80,0.002531,94033.97866455947,1580.4030027657054,395.10075069142636,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0008436666666666667,0.002145,0.0009335774680704806,0.0012655,0.0012655,0,1,512,64240
80,0.001955,121739.1304347826,2046.0358056265984,511.5089514066496,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006516666666666667,0.001917,0.0008948602622135419,0.0009775,0.0009775,0,1,512,64240
80,0.001954,121801.4329580348,2047.0829068577277,511.77072671443193,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006513333333333333,0.001251,0.0005120236539674923,0.000977,0.000977,0,1,512,64240
80,0.002655,89642.1845574388,1506.5913370998119,376.64783427495297,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000885,0.002628,0.0012325364091985275,0.0013275,0.0013275,0,1,512,64240
80,0.001276,186520.3761755486,3134.796238244514,783.6990595611285,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00042533333333333334,0.001247,0.0005811266834539799,0.000638,0.000638,0,1,512,64240
80,0.001281,185792.34972677595,3122.56049960968,780.64012490242,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000427,0.001252,0.000583483218838954,0.0006405,0.0006405,0,1,512,64240
80,0.003686,64568.63809007053,1085.1871947911015,271.2967986977754,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0012286666666666668,0.003655,0.0017157234301859053,0.001843,0.001843,0,1,512,64240
80,0.003686,64568.63809007053,1085.1871947911015,271.2967986977754,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0012286666666666668,0.003473,0.0015893638839345622,0.001843,0.001843,0,1,512,64240
80,0.001586,150063.05170239595,2522.068095838588,630.517023959647,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005286666666666667,0.001438,0.0006458283225612069,0.000793,0.000793,0,1,512,64240
80,0.004141,57474.04008693553,965.9502535619416,241.4875633904854,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013803333333333332,0.004075,0.0019056075729861647,0.0020705,0.0020705,0,1,512,64240
80,0.004142,57460.16417189764,965.7170449058426,241.42926122646065,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013806666666666665,0.003849,0.0017494693163610756,0.002071,0.002071,0,1,512,64240
80,0.001665,142942.94294294293,2402.4024024024025,600.6006006006006,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000555,0.001516,0.0006822467784216109,0.0008325,0.0008325,0,1,512,64240
80,0.004427,53761.011971990054,903.5464196973119,225.88660492432797,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0014756666666666668,0.004374,0.0020495453696423075,0.0022135,0.0022135,0,1,512,64240
80,0.002102,113225.4995242626,1902.9495718363462,475.73739295908655,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0007006666666666667,0.002009,0.0009259101228281045,0.001051,0.001051,0,1,512,64240
